subject_id,scenario_label,intimacy,motivation,action,p_action
0d8efafa-c343-5c93-b244-201b9956a453,hike,50,high,2,0.26
0d8efafa-c343-5c93-b244-201b9956a453,hike,50,high,3,0.11
0d8efafa-c343-5c93-b244-201b9956a453,oysters,0,high,0,0.54
0d8efafa-c343-5c93-b244-201b9956a453,oysters,0,high,1,0.31
0d8efafa-c343-5c93-b244-201b9956a453,oysters,0,high,2,0.14
0d8efafa-c343-5c93-b244-201b9956a453,oysters,0,high,3,0.01
0d8efafa-c343-5c93-b244-201b9956a453,social,100,low,0,0.49
0d8efafa-c343-5c93-b244-201b9956a453,social,100,low,1,0.22
0d8efafa-c343-5c93-b244-201b9956a453,social,100,low,2,0.16
0d8efafa-c343-5c93-b244-201b9956a453,social,100,low,3,0.13
0d8efafa-c343-5c93-b244-201b9956a453,soup,75,high,0,0.12
0d8efafa-c343-5c93-b244-201b9956a453,soup,75,high,1,0.29
0d8efafa-c343-5c93-b244-201b9956a453,soup,75,high,2,0.38
0d8efafa-c343-5c93-b244-201b9956a453,soup,75,high,3,0.21
0d8efafa-c343-5c93-b244-201b9956a453,takeout,100,high,0,0.06
0d8efafa-c343-5c93-b244-201b9956a453,takeout,100,high,1,0.18
0d8efafa-c343-5c93-b244-201b9956a453,takeout,100,high,2,0.54
0d8efafa-c343-5c93-b244-201b9956a453,takeout,100,high,3,0.22
0d8efafa-c343-5c93-b244-201b9956a453,wedding,75,high,0,0.06
0d8efafa-c343-5c93-b244-201b9956a453,wedding,75,high,1,0.4
0d8efafa-c343-5c93-b244-201b9956a453,wedding,75,high,2,0.27
0d8efafa-c343-5c93-b244-201b9956a453,wedding,75,high,3,0.27
108de2c6-ae82-548b-88df-50b707abe8fa,apples,0,high,0,0.0
108de2c6-ae82-548b-88df-50b707abe8fa,apples,0,high,1,0.97
108de2c6-ae82-548b-88df-50b707abe8fa,apples,0,high,2,0.03
108de2c6-ae82-548b-88df-50b707abe8fa,apples,0,high,3,0.0
108de2c6-ae82-548b-88df-50b707abe8fa,basketball,50,high,0,0.0
108de2c6-ae82-548b-88df-50b707abe8fa,basketball,50,high,1,0.87
108de2c6-ae82-548b-88df-50b707abe8fa,basketball,50,high,2,0.13
108de2c6-ae82-548b-88df-50b707abe8fa,basketball,50,high,3,0.0
108de2c6-ae82-548b-88df-50b707abe8fa,birthday,100,low,0,0.2
108de2c6-ae82-548b-88df-50b707abe8fa,birthday,100,low,1,0.5
108de2c6-ae82-548b-88df-50b707abe8fa,birthday,100,low,2,0.25
108de2c6-ae82-548b-88df-50b707abe8fa,birthday,100,low,3,0.05
108de2c6-ae82-548b-88df-50b707abe8fa,brunch,75,high,0,0.0
108de2c6-ae82-548b-88df-50b707abe8fa,brunch,75,high,1,0.0
108de2c6-ae82-548b-88df-50b707abe8fa,brunch,75,high,2,0.5
108de2c6-ae82-548b-88df-50b707abe8fa,brunch,75,high,3,0.5
108de2c6-ae82-548b-88df-50b707abe8fa,cooking,100,low,0,1.0
108de2c6-ae82-548b-88df-50b707abe8fa,cooking,100,low,1,0.0
108de2c6-ae82-548b-88df-50b707abe8fa,cooking,100,low,2,0.0
108de2c6-ae82-548b-88df-50b707abe8fa,cooking,100,low,3,0.0
108de2c6-ae82-548b-88df-50b707abe8fa,dip,50,low,0,1.0
108de2c6-ae82-548b-88df-50b707abe8fa,dip,50,low,1,0.0
108de2c6-ae82-548b-88df-50b707abe8fa,dip,50,low,2,0.0
108de2c6-ae82-548b-88df-50b707abe8fa,dip,50,low,3,0.0
108de2c6-ae82-548b-88df-50b707abe8fa,drinks,0,low,0,1.0
108de2c6-ae82-548b-88df-50b707abe8fa,drinks,0,low,1,0.0
108de2c6-ae82-548b-88df-50b707abe8fa,drinks,0,low,2,0.0
108de2c6-ae82-548b-88df-50b707abe8fa,drinks,0,low,3,0.0
108de2c6-ae82-548b-88df-50b707abe8fa,driving,75,high,0,0.14
108de2c6-ae82-548b-88df-50b707abe8fa,driving,75,high,1,0.55
108de2c6-ae82-548b-88df-50b707abe8fa,driving,75,high,2,0.16
108de2c6-ae82-548b-88df-50b707abe8fa,driving,75,high,3,0.15
108de2c6-ae82-548b-88df-50b707abe8fa,fair,50,low,0,0.0
108de2c6-ae82-548b-88df-50b707abe8fa,fair,50,low,1,0.85
108de2c6-ae82-548b-88df-50b707abe8fa,fair,50,low,2,0.1
108de2c6-ae82-548b-88df-50b707abe8fa,fair,50,low,3,0.05
108de2c6-ae82-548b-88df-50b707abe8fa,gala,50,high,0,0.0
